"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2512",0.28,0.61,6185.46075768751,98781.863499067,700054.089916217,805021.414172972,1221797.26387977,987838.185421282,539796.197129584,2739733.35599607
"2513",0.28,0.62,6183.15044757156,98006.9508003385,705762.39533333,809952.49658124,1219411.90885869,978329.975128275,543235.930565433,2731145.3849114
"2514",0.28,0.63,6180.82817828673,97232.7912998345,711460.538125983,814874.157604105,1216994.89115082,968853.895430319,546635.693472937,2722495.48394892
"2515",0.28,0.64,6178.49391464624,96459.3937357668,717148.51567701,819786.403327423,1214546.44675942,959383.555885438,549995.244218558,2713784.59176803
"2516",0.28,0.65,6176.14762195554,95686.7668968006,722826.326111733,824689.24063049,1212066.81769086,949919.894438409,553314.349540649,2705013.65826801
"2517",0.28,0.66,6173.78926602624,94914.9196215395,728493.968313367,829582.677200933,1209556.2518802,940463.847428513,556592.784635344,2696183.6442741
"2518",0.28,0.67,6171.41881319025,94143.8607979882,734151.441938612,834466.721549791,1207015.00311402,931016.349263168,559830.333238427,2687295.52121837
"2519",0.28,0.68,6169.03623031414,93373.5993629899,739798.747433553,839341.383026857,1204443.33095029,921578.332092095,563026.787703107,2678350.27081552
"2520",0.28,0.69,6166.64148481367,92604.1443016389,745435.886049748,844206.6718362,1201841.5006356,912150.725482235,566181.949073647,2669348.88473388
"2521",0.28,0.7,6164.23454466846,91835.504646669,751062.859860608,849062.599051946,1199209.78301958,902734.456093669,569295.627154765,2660292.36426183
"2522",0.28,0.71,6161.81537843698,91067.6894778146,756679.671777993,853909.176634244,1196548.45446675,893330.447356762,572380.112642146,2651181.71996987
"2523",0.28,0.72,6159.38395527155,90300.7079211475,762286.3255691,858746.417445519,1193857.79676567,883939.619150778,575669.308579628,2642017.97136846
"2524",0.29,0,6260.20533114533,147090.290771217,339545.104496753,492895.600599115,1362924.48649332,1646235.25902128,288496.49664006,3290101.26669114
"2525",0.29,0.01,6258.53246273429,146283.641794093,345840.343084751,498382.517341578,1360498.09330911,1634395.44428286,293381.453553222,3279982.4444288
"2526",0.29,0.02,6256.85018256331,145477.318788552,352126.481889804,503860.65086092,1358269.57172956,1622542.50496705,298230.131036992,3269787.14184387
"2527",0.29,0.03,6255.15844432025,144671.327171253,358403.494100853,509329.979716426,1356005.76554502,1610677.4585133,303136.959977897,3259516.25885902
"2528",0.29,0.04,6253.45720165187,143865.672411305,364671.353070423,514790.48268338,1353706.7999387,1598801.32735677,308062.975630533,3250179.81458656
"2529",0.29,0.05,6251.74640816857,143060.360030529,370930.032319917,520242.138758614,1351372.80673455,1586915.13862732,312956.325090481,3241344.36251319
"2530",0.29,0.06,6250.026017449,142255.3956037,377179.505545034,525684.927166183,1349003.92438676,1575019.92384436,317816.588923018,3232425.92411106
"2531",0.29,0.07,6248.29598304495,141450.784758799,383419.746621284,531118.827363127,1346600.2979663,1563116.71860825,322643.352598313,3223425.2342765
"2532",0.29,0.08,6246.55625848621,140646.533177247,389650.729609607,536543.81904534,1344162.07914441,1551206.56228796,327436.206640194,3214343.04483858
"2533",0.29,0.09,6244.8067972857,139842.646594147,395872.428762115,541959.882153548,1341689.42617308,1539290.49770552,332194.746773652,3205180.12438673
"2534",0.29,0.1,6243.04755294449,139039.130798507,402084.818527929,547366.99687938,1339182.50386243,1527369.57081726,336918.574070948,3195937.25808979
"2535",0.29,0.11,6241.27847895727,138235.991633473,408287.873559137,552765.143671567,1336641.48355513,1515444.8303921,341607.295096255,3186615.2475068
"2536",0.29,0.12,6239.49952881757,137433.23499654,414481.568716876,558154.303242234,1334066.54309771,1503998.56902867,346260.522048697,3177214.91038948
"2537",0.29,0.13,6237.7106560234,136630.866839774,420665.879077507,563534.456573305,1331457.86680884,1492805.86536235,350877.872903705,3167737.08047642
"2538",0.29,0.14,6235.91181408285,135828.89317001,426840.779938938,568905.584923031,1328815.64544463,1481600.86811782,355458.971552574,3158182.60727925
"2539",0.29,0.15,6234.10295651988,135027.320049061,433006.246827044,574267.669832625,1326140.07616081,1470384.57542536,360003.447940123,3148552.35586073
"2540",0.29,0.16,6232.28403688015,134226.153593908,439162.25550222,579620.693133008,1323431.36247195,1459157.99012145,364510.938200357,3138847.20660489
"2541",0.29,0.17,6230.4550087372,133425.399976888,445308.781966065,584964.63695169,1320689.71420764,1447922.11944353,368981.084790029,3129068.05497942
"2542",0.29,0.18,6228.6158256984,132625.065425881,451445.802468173,590299.483719752,1317915.34746569,1436677.97472111,373413.536619995,3119215.81129034
"2543",0.29,0.19,6226.76644141143,131825.156224473,457573.293513079,595625.216178964,1315108.48456236,1425426.5710631,377807.949184279,3109291.40042906
"2544",0.29,0.2,6224.90680957058,131025.678712134,463691.231867311,600941.817389016,1312269.35397961,1414168.92704196,382163.984686732,3099295.76161206
"2545",0.29,0.21,6223.03688392341,130226.639284367,469799.59456659,606249.270734881,1310007.60985987,1402906.0643745,386630.829257082,3089229.84811327
"2546",0.29,0.22,6221.15661827731,129428.044392864,475898.358923163,611547.559934304,1307716.21369714,1391639.00759976,391098.369311345,3080077.54950011
"2547",0.29,0.23,6219.26596650649,128629.900545647,481987.502533268,616836.669045421,1305390.34677567,1380368.78375405,395530.65197565,3071334.19728986
"2548",0.29,0.24,6217.36488255883,127832.214307202,488067.003284738,622116.582474499,1303030.17279831,1369096.42204337,399927.29637223,3062513.22689643
"2549",0.29,0.25,6215.45332046308,127034.992298606,494136.839364759,627387.284983828,1300635.86212188,1357822.95351349,404287.92769796,3053615.44467185
"2550",0.29,0.26,6213.53123433612,126238.24119764,500196.989267751,632648.761699727,1298207.59172592,1346549.41071783,408612.177365624,3044641.67277563
"2551",0.29,0.27,6211.5985783903,125441.967738898,506247.431803413,637900.998120701,1295745.54517818,1335276.82738331,412899.683143065,3035592.74895381
"2552",0.29,0.28,6209.6553069411,124646.178713884,512288.146104902,643143.980125727,1293249.91259697,1324060.57306337,417150.08929008,3026469.52631002
"2553",0.29,0.29,6207.70137441475,123850.880971101,518319.11163718,648377.693982695,1290720.89061042,1313429.69357389,421363.046692991,3017272.8730686
"2554",0.29,0.3,6205.73673535614,123056.081416126,524340.308205485,653602.126356967,1288158.68231256,1302791.91949075,425538.212996748,3008003.67232989
"2555",0.29,0.31,6203.76134443682,122261.787011679,530351.71596399,658817.264320106,1285563.49721623,1292148.24579007,429675.252734502,2998662.82181789
"2556",0.29,0.32,6201.77515646316,121468.004777677,536353.315424598,664023.095358739,1282935.55120299,1281499.67038753,433773.837454514,2989251.23362035
"2557",0.29,0.33,6199.77812638464,120674.741791284,542345.087465891,669219.60738356,1280275.06646985,1270847.19381526,437833.64584432,2979769.83392145
"2558",0.29,0.34,6197.77020930246,119882.005186938,548327.013342265,674406.788738505,1277582.27147305,1260191.8188961,441854.36385204,2970219.56272731
"2559",0.29,0.35,6195.75136047801,119089.802156378,554299.074693209,679584.628210065,1274857.40086865,1249534.55041539,445835.684804754,2960601.37358436
"2560",0.29,0.36,6193.72153534177,118298.139948652,560261.253552755,684753.115036749,1272100.69545029,1238876.39479043,449777.309523825,2950916.23329079
"2561",0.29,0.37,6191.68068950226,117507.025870119,566213.532359096,689912.238918717,1269312.40208387,1228218.35973793,453678.946437104,2941165.12160128
"2562",0.29,0.38,6189.62877875515,116716.467284426,572155.893964384,695061.990027565,1266492.77363931,1217561.45393965,457725.091530582,2931349.03092513
"2563",0.29,0.39,6187.56575909261,115926.471612489,578088.321644687,700202.359016268,1263771.17320296,1206906.68670643,461765.230366178,2922021.60630156
"2564",0.29,0.4,6185.49158671265,115137.046332445,584010.799110134,705333.337029292,1261465.38061691,1196255.06764077,465768.046782552,2913425.63834239
"2565",0.29,0.41,6183.40621802892,114348.198979603,589923.310515237,710454.915712868,1259126.02089573,1185607.60629839,469733.204109165,2904757.53213347
"2566",0.29,0.42,6181.30960968037,113559.937146368,595825.840469382,715567.087225431,1256753.28745313,1174965.31184876,473660.372785238,2896018.14998592
"2567",0.29,0.43,6179.20171854124,112772.268482166,601718.37404752,720669.844248227,1254347.38024909,1164329.192735,477549.230487518,2887208.36864045
"2568",0.29,0.44,6177.08250173134,111985.200693339,607600.896801034,725763.179996105,1251908.50574058,1153826.15386296,481399.462255082,2878329.07900474
"2569",0.29,0.45,6174.95191662616,111198.741543037,613473.394768795,730847.088228459,1249436.87682918,1143745.86299,485210.760611091,2869381.18588337
"2570",0.29,0.46,6172.80992086755,110412.898851084,619335.85448842,735921.563260371,1246932.71280547,1133664.4890775,488982.825681376,2860365.6077007
"2571",0.29,0.47,6170.65647237431,109627.680493838,625188.263007696,740986.599973909,1244396.23929031,1123583.01333414,492715.365309786,2851283.27621664
"2572",0.29,0.48,6168.49152935303,108843.09440403,631030.607896241,746042.193829624,1241827.68817298,1113502.41786538,496408.095170178,2842135.13623566
"2573",0.29,0.49,6166.31505030916,108059.148570584,636862.877257319,751088.340878212,1239227.2975463,1103423.68533935,500060.738874977,2832922.14530907
"2574",0.29,0.5,6164.1269940582,107275.851038423,642685.059739898,756125.037772379,1236595.31163866,1093347.79865141,503673.028080205,2823645.2734309
"2575",0.29,0.51,6161.92731973715,106493.209908261,648497.144550878,761152.281778876,1233931.98074308,1083275.74058761,507244.702586898,2814305.50272747
"2576",0.29,0.52,6159.71598681598,105711.233336367,654299.121467546,766170.070790729,1231237.56114331,1073208.4934874,510775.510438828,2804903.82714087
"2577",0.29,0.53,6157.49295510952,104929.929534324,660090.98085023,771178.403339663,1228512.31503696,1063147.0389056,514265.208016448,2795441.25210661
"2578",0.29,0.54,6155.2581847893,104149.306768757,665872.713655168,776177.278608715,1225756.51045586,1053092.35727416,517874.292810092,2785918.79422556
"2579",0.29,0.55,6153.01163639577,103369.373361052,671644.311447601,781166.696445048,1222970.4211835,1043045.4275636,521523.303597456,2776337.48093048
"2580",0.29,0.56,6150.75327085057,102590.137687047,677405.766415052,786146.65737295,1220154.32666978,1033007.22694475,525133.466193291,2767659.63843964
"2581",0.29,0.57,6148.48304946906,101811.608176711,683157.071380868,791117.162607047,1217433.69040063,1022978.73045072,528704.491229889,2759198.67356519
"2582",0.29,0.58,6146.20093397302,101033.793313795,688898.219817944,796078.214065712,1215097.07023897,1012960.91063949,532236.097306805,2750671.85684142
"2583",0.29,0.59,6143.90688650355,100256.701635472,694629.2058627,801029.814384676,1212728.16651545,1002957.27346852,535728.011100384,2742080.10271619
"2584",0.29,0.6,6141.60086963415,99480.3417319434,700350.024329273,805971.96693085,1210327.20512695,993422.271461666,539179.967469595,2733424.33824648
"2585",0.29,0.61,6139.28284638395,98704.7222460366,706060.670723932,810904.675816352,1207894.41822733,983891.285668493,542591.709558104,2724705.50279631
"2586",0.29,0.62,6136.95278023122,97929.851872771,711761.141259743,815827.945912746,1205430.04415819,974365.270349343,545962.988892474,2715924.54772867
"2587",0.29,0.63,6134.61063512705,97155.7393589063,717451.432871458,820741.782865491,1202934.32737676,964845.178750984,549293.565476433,2707082.43609128
