"","V1","V2","V3","V4","V5","V6"
"143",0.01,0.41,7546.86374150654,139715.083108016,704948.132122436,852210.078971959
"144",0.01,0.42,7546.44989106988,139450.84513666,707119.341634054,854116.636661784
"145",0.01,0.43,7546.03537364097,139186.642580057,709289.943434,856022.621387698
"146",0.01,0.44,7545.62018851732,138922.475590566,711459.937879638,857928.033658722
"147",0.01,0.45,7545.20433499825,138658.344320899,713629.325334394,859832.873990291
"148",0.01,0.46,7544.78781238469,138394.248924118,715798.106167783,861737.142904285
"149",0.01,0.47,7544.37061997938,138130.189553641,717966.280755442,863640.840929062
"150",0.01,0.48,7543.95275708678,137866.166363237,720133.849479169,865543.968599492
"151",0.01,0.49,7543.53422301313,137602.179507027,722300.812726941,867446.526456982
"152",0.01,0.5,7543.1150170665,137338.229139486,724467.170892965,869348.515049517
"153",0.01,0.51,7542.6951385567,137074.315415437,726632.924377693,871249.934931687
"154",0.01,0.52,7542.27458679545,136810.438490059,728798.073587867,873150.786664722
"155",0.01,0.53,7541.85336109628,136546.598518879,730962.618936545,875051.07081652
"156",0.01,0.54,7541.43146077461,136282.795657776,733126.560843137,876950.787961688
"157",0.01,0.55,7541.00888514774,136019.030062981,735289.89973344,878849.938681569
"158",0.01,0.56,7540.58563353487,135755.301891072,737452.636039664,880748.523564271
"159",0.01,0.57,7540.16170525716,135491.611298981,739614.770200475,882646.543204712
"160",0.01,0.58,7539.73709963769,135227.958443987,741776.302661017,884543.998204642
"161",0.01,0.59,7539.31181600153,134964.34348372,743937.233872959,886440.88917268
"162",0.01,0.6,7538.88585367572,134700.76657616,746097.564294523,888337.216724359
"163",0.01,0.61,7538.45921198936,134437.227879632,748257.294390515,890232.981482136
"164",0.01,0.62,7538.03189027349,134173.727552813,750416.424632359,892128.184075445
"165",0.01,0.63,7537.6038878613,133910.265754727,752574.955498139,894022.825140728
"166",0.01,0.64,7537.17520408799,133646.842644746,754732.887472627,895916.905321462
"167",0.01,0.65,7536.74583829085,133383.458382589,756890.22104732,897810.4252682
"168",0.01,0.66,7536.31578980931,133120.113128322,759046.956720474,899703.385638605
"169",0.01,0.67,7535.88505798493,132856.807042356,761203.094997139,901595.787097481
"170",0.01,0.68,7535.4536421614,132593.540285452,763358.636389192,903487.630316806
"171",0.01,0.69,7535.02154168462,132330.313018714,765513.58141538,905378.915975778
"172",0.01,0.7,7534.58875590264,132067.12540359,767667.930601348,907269.64476084
"173",0.01,0.71,7534.15528416578,131803.977601875,769821.684479675,909159.817365716
"174",0.01,0.72,7533.72112582657,131540.869775709,771974.843589913,911049.434491448
"175",0.01,0.73,7533.28628023977,131277.802087573,774127.408478623,912938.496846436
"176",0.01,0.74,7532.85074676249,131014.774700295,776279.379699409,914827.005146466
"177",0.01,0.75,7532.41452475409,130751.787777042,778430.757812952,916714.960114748
"178",0.01,0.76,7531.97761357625,130488.841481327,780581.543387058,918602.362481961
"179",0.01,0.77,7531.54001259304,130225.935977003,782731.736996675,920489.212986271
"180",0.01,0.78,7531.1017211709,129963.071428265,784881.33922395,922375.512373385
"181",0.01,0.79,7530.66273867858,129700.247999648,787030.350658254,924261.26139658
